Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,CI95
Social life,0.1136,0.0974,0.1325,0.0624,Both,E. Europe,10653,[0.0974 - 0.1325]
Global,0.1261,0.1,0.159,0.0943,Both,E. Europe,10653,[0.1 - 0.159]
Wellbeing,0.2946,0.2629,0.3301,0.0463,Both,E. Europe,10653,[0.2629 - 0.3301]
Rights & choices,0.9556,0.8441,1.0819,0.0505,Both,E. Europe,10653,[0.8441 - 1.0819]
Institutional,1.0511,0.9963,1.109,0.0218,Both,E. Europe,10653,[0.9963 - 1.109]
Global,0.1608,0.1287,0.201,0.0907,Female,E. Europe,5854,[0.1287 - 0.201]
Wellbeing,0.3475,0.2954,0.4088,0.066,Female,E. Europe,5854,[0.2954 - 0.4088]
Social life,0.3681,0.3266,0.4149,0.0486,Female,E. Europe,5854,[0.3266 - 0.4149]
Institutional,0.9097,0.8491,0.9745,0.028,Female,E. Europe,5854,[0.8491 - 0.9745]
Rights & choices,1.0297,0.8731,1.2144,0.0671,Female,E. Europe,5854,[0.8731 - 1.2144]
Social life,0.2085,0.1864,0.2332,0.0455,Male,E. Europe,4799,[0.1864 - 0.2332]
Global,0.2285,0.1839,0.2839,0.0883,Male,E. Europe,4799,[0.1839 - 0.2839]
Wellbeing,0.2462,0.2197,0.2758,0.0462,Male,E. Europe,4799,[0.2197 - 0.2758]
Rights & choices,0.9018,0.7919,1.0269,0.0528,Male,E. Europe,4799,[0.7919 - 1.0269]
Institutional,1.2904,1.2047,1.3822,0.028,Male,E. Europe,4799,[1.2047 - 1.3822]
